run_id,task_id,program,tier,format_level,arm,repeat,produced_nonempty,self_consistent,n_tool_calls,n_parsers_tried,n_bash,n_turns,cost_usd,n_tool_errors,n_wrong_parser,n_extractable,n_correct,recall,precision,n_extra_unverified,success
VASP__yzVrn483__DOCS__0,VASP__yzVrn483,VASP,easy,L0,DOCS,0,1,1,8,2,4,18,0.30883775,2,1,6,6,1.0,1.0,1,1
VASP__yzVrn483__FULL__0,VASP__yzVrn483,VASP,easy,L0,FULL,0,1,1,7,2,4,14,0.2699055,2,1,6,6,1.0,1.0,1,1
VASP__yzVrn483__NONE__0,VASP__yzVrn483,VASP,easy,L0,NONE,0,1,1,4,0,4,8,0.22547275000000003,0,0,6,6,1.0,1.0,1,1
WIEN2k__5GwBxvrA__BARE__0,WIEN2k__5GwBxvrA,WIEN2k,hard,L3,BARE,0,1,1,7,2,2,13,0.5493865,3,3,0,0,0.0,0.0,7,0
WIEN2k__5GwBxvrA__COMPLEXITY__0,WIEN2k__5GwBxvrA,WIEN2k,hard,L3,COMPLEXITY,0,1,1,4,0,2,10,0.5880969999999999,0,0,0,0,0.0,0.0,9,0
WIEN2k__5GwBxvrA__DOCS__0,WIEN2k__5GwBxvrA,WIEN2k,hard,L3,DOCS,0,1,1,9,3,2,18,0.632127,3,3,0,0,0.0,0.0,9,0
WIEN2k__5GwBxvrA__FULL__0,WIEN2k__5GwBxvrA,WIEN2k,hard,L3,FULL,0,1,1,5,0,3,11,0.5163770000000001,0,0,0,0,0.0,0.0,9,0
WIEN2k__5GwBxvrA__NONE__0,WIEN2k__5GwBxvrA,WIEN2k,hard,L3,NONE,0,1,1,3,0,2,8,0.33770875,0,0,0,0,0.0,0.0,9,0
exciting__-VzNnlku__BARE__0,exciting__-VzNnlku,exciting,hard,L2,BARE,0,1,1,7,2,1,15,0.6091084999999999,3,3,0,0,0.0,0.0,9,0
exciting__-VzNnlku__COMPLEXITY__0,exciting__-VzNnlku,exciting,hard,L2,COMPLEXITY,0,1,1,3,0,1,8,0.533652,0,0,0,0,0.0,0.0,9,0
exciting__-VzNnlku__DOCS__0,exciting__-VzNnlku,exciting,hard,L2,DOCS,0,1,1,7,2,1,14,0.606719,2,2,0,0,0.0,0.0,9,0
exciting__-VzNnlku__FULL__0,exciting__-VzNnlku,exciting,hard,L2,FULL,0,1,1,7,3,1,14,0.6152285000000001,3,3,0,0,0.0,0.0,9,0
exciting__-VzNnlku__NONE__0,exciting__-VzNnlku,exciting,hard,L2,NONE,0,1,1,3,0,1,8,0.3926515,0,0,0,0,0.0,0.0,9,0
